Date,City_Country,State,Country,Latitude,Longitude,Tour,Encores_Count,Set_Length,Kill_Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,1 Track,2 Track,3 Track,4 Track,5 Track,6 Track,7 Track,8 Track,9 Track,10 Track,11 Track,12 Track,13 Track,14 Track,15 Track,16 Track,17 Track,18 Track,19 Track,20 Track,21 Track,22 Track,Last_track_Set,1 Encore,2 Encore,3 Encore,4 Encore,Last_track_Encore
02.04.2018,Prague,,Czech Republic,50.0755381,14.4378005,WorldWired,3,15,0,1,3,1,1,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Leper Messiah,Welcome Home (Sanitarium),Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Am I Evil?,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
31.03.2018,Vienna,,Austria,48.2081743,16.3738189,WorldWired,3,15,0,2,1,1,2,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Through the Never,Fade to Black,Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Breadfan,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
29.03.2018,Hamburg,,Germany,53.5510846,9.9936819,WorldWired,3,16,1,1,1,1,2,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,The Four Horsemen,The Unforgiven,Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Die,Die My Darling,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
27.03.2018,Herning,,Denmark,56.138557,8.967322,WorldWired,3,15,0,2,2,1,2,0,0,0,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Holier Than Thou,Welcome Home (Sanitarium),Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Last Caress,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
16.02.2018,Mannheim,,Germany,49.4874592,8.4660395,WorldWired,3,15,0,1,2,2,1,0,1,0,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,Welcome Home (Sanitarium),Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Last Caress,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
14.02.2018,Bologna,,Italy,44.494887,11.3426162,WorldWired,3,15,0,1,1,1,2,0,1,1,0,1,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Of Wolf and Man,The Day That Never Comes,Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Whiskey in the Jar,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
12.02.2018,Bologna,,Italy,44.494887,11.3426162,WorldWired,3,15,0,3,1,2,1,0,0,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,The Shortest Straw,Fade to Black,Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Helpless,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,Enter Sandman
10.02.2018,Turin,,Italy,45.0703393,7.686864,WorldWired,3,15,0,1,3,1,1,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Leper Messiah,Welcome Home (Sanitarium),Now That Were Dead,Spit Out the Bone,For Whom the Bell Tolls,Halo On Fire,Blitzkrieg,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Orion,Nothing Else Matters,Enter Sandman,,Enter Sandman
07.02.2018,Barcelona,,Spain,41.3850639,2.1734035,WorldWired,3,15,0,1,2,1,2,0,1,1,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Through the Never,Welcome Home (Sanitarium),Now That Were Dead,Confusion,For Whom the Bell Tolls,Halo On Fire,Breadfan,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out the Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
05.02.2018,Madrid,,Spain,40.4167754,-3.7037902,WorldWired,3,15,0,3,1,2,1,0,0,0,0,0,6,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,Fade to Black,Now That Were Dead,Dream No More,For Whom the Bell Tolls,Halo On Fire,Last Caress,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,Enter Sandman
